editor,platform,project,relative_file,language,event_time
VSCode,Windows 11,frontend,src/app/(bpf)/forms/store/form-structure/action/element/element-elements.ts,typescript,1709033280000
VSCode,Windows 11,frontend,src/app/(bpf)/forms/store/form-structure/action/element/element-elements.ts,typescript,1709033340000
VSCode,Windows 11,frontend,src/app/(bpf)/forms/store/form-structure/action/element/element-elements.ts,typescript,1709033400000
VSCode,Windows 11,frontend,src/app/(bpf)/forms/store/form-structure/action/element/element-elements.ts,typescript,1709033460000
VSCode,Windows 11,frontend,src/app/(bpf)/forms/store/form-structure/action/element/index.ts,typescript,1709033520000
VSCode,Windows 11,frontend,src/app/(bpf)/forms/template/editor/components/element/components/element-renderer/components/element-radio.tsx,typescriptreact,1709033580000
VSCode,Windows 11,frontend,src/app/(bpf)/forms/template/editor/components/element/components/element-renderer/components/element-radio.tsx,typescriptreact,1709033640000
VSCode,Windows 11,frontend,src/app/(bpf)/forms/store/form-structure/action/element/element-elements.ts,typescript,1709033700000
VSCode,Windows 11,frontend,src/app/(bpf)/forms/store/form-structure/action/element/element-elements.ts,typescript,1709033760000
VSCode,Windows 11,frontend,src/app/(bpf)/forms/store/form-structure/action/element/element-elements.ts,typescript,1709033820000
VSCode,Windows 11,frontend,src/app/(bpf)/forms/store/form-structure/action/element/element-elements.ts,typescript,1709033940000
VSCode,Windows 11,frontend,src/app/(bpf)/forms/store/form-structure/action/element/element-elements.ts,typescript,1709034000000
VSCode,Windows 11,frontend,src/app/(bpf)/forms/store/form-structure/action/element/element-elements.ts,typescript,1709034060000
VSCode,Windows 11,frontend,src/app/(bpf)/forms/store/form-structure/action/element/element-elements.ts,typescript,1709034120000
VSCode,Windows 11,frontend,src/app/(bpf)/forms/store/form-structure/action/element/element-elements.ts,typescript,1709034180000
VSCode,Windows 11,frontend,src/app/(bpf)/forms/template/editor/components/element/components/element-renderer/components/element-radio.tsx,typescriptreact,1709034240000
VSCode,Windows 11,frontend,src/app/(bpf)/forms/store/form-structure/action/element/element-elements.ts,typescript,1709034300000
VSCode,Windows 11,frontend,src/app/(bpf)/forms/store/form-structure/action/element/element-elements.ts,typescript,1709034360000
VSCode,Windows 11,frontend,src/app/(bpf)/forms/template/editor/components/element/components/element-renderer/components/element-radio.tsx,typescriptreact,1709034420000
VSCode,Windows 11,frontend,src/app/(bpf)/forms/store/form-structure/action/element/element-elements.ts,typescript,1709034480000
VSCode,Windows 11,frontend,src/app/(bpf)/forms/store/form-structure/action/element/element-elements.ts,typescript,1709034540000
VSCode,Windows 11,frontend,src/app/(bpf)/forms/store/form-structure/action/element/element-elements.ts,typescript,1709034600000
VSCode,Windows 11,frontend,src/app/(bpf)/forms/store/form-structure/action/element/element-elements.ts,typescript,1709034660000
VSCode,Windows 11,frontend,src/app/(bpf)/forms/store/form-structure/action/element/element-elements.ts,typescript,1709034720000
VSCode,Windows 11,frontend,src/app/(bpf)/forms/store/form-structure/action/element/element-elements.ts,typescript,1709034780000
VSCode,Windows 11,frontend,src/app/(bpf)/forms/template/editor/components/element/components/element-renderer/components/element-radio.tsx,typescriptreact,1709034840000
VSCode,Windows 11,frontend,src/app/(bpf)/forms/store/form-structure/action/element/element-elements.ts,typescript,1709034900000
VSCode,Windows 11,frontend,src/app/(bpf)/forms/store/form-structure/action/element/element-elements.ts,typescript,1709034960000
VSCode,Windows 11,frontend,src/app/(bpf)/forms/store/form-structure/action/element/element-elements.ts,typescript,1709035020000
VSCode,Windows 11,frontend,src/app/(bpf)/forms/store/form-structure/action/element/element-elements.ts,typescript,1709035080000
VSCode,Windows 11,frontend,src/app/(bpf)/forms/store/form-structure/action/element/element-elements.ts,typescript,1709035140000
VSCode,Windows 11,frontend,src/app/(bpf)/forms/template/editor/components/element/components/element-renderer/components/element-radio.tsx,typescriptreact,1709035200000
VSCode,Windows 11,frontend,src/app/(bpf)/forms/template/editor/components/element/components/element-renderer/components/element-radio.tsx,typescriptreact,1709035260000
VSCode,Windows 11,frontend,src/app/(bpf)/forms/store/form-structure/action/element/element-elements.ts,typescript,1709035320000
